Location,Total Offenses,"Animal
Cruelty","Drug/
Narcotic
Offenses","Gambling
Offenses","Pornography/
Obscene
Material","Prostitution
Offenses","Weapon
Law
Violations"
Total,"1,620,563","16,497","1,290,858","1,815","31,873","11,565","267,955"
Abandoned/Condemned Structure,942,15,827,0,2,2,96
Air/Bus/Train Terminal,"10,071",16,"5,643",0,34,13,"4,365"
Amusement Park,341,6,254,0,7,0,74
Arena/Stadium/Fairgrounds/Coliseum,405,6,290,0,6,1,102
ATM Separate from Bank,100,0,86,0,0,2,12
Auto Dealership New/Used,786,4,647,0,4,2,129
Bank/Savings and Loan,"1,480",7,"1,261",1,11,4,196
Bar/Nightclub,"4,981",12,"2,855",42,18,58,"1,996"
Camp/Campground,900,17,721,3,11,4,144
Church/Synagogue/Temple/Mosque,"2,206",15,"1,880",0,28,4,279
Commercial/Office Building,"10,302",129,"7,938",205,165,275,"1,590"
Community Center,432,3,324,1,13,1,90
Construction Site,813,8,641,1,2,2,159
Convenience Store,"27,396",52,"23,466",184,65,84,"3,545"
Cyberspace,"5,411",0,46,1,"5,232",113,19
Daycare Facility,144,2,99,0,10,1,32
Department/Discount Store,"18,577",109,"16,527",4,123,23,"1,791"
Dock/Wharf/Freight/Modal Terminal,"1,106",2,"1,063",0,2,2,37
Drug Store/Doctor's Office/Hospital,"9,528",74,"8,660",0,63,9,722
Farm Facility,357,142,158,1,3,0,53
Field/Woods,"8,943",470,"6,324",3,27,53,"2,066"
Gambling Facility/Casino/Race Track,"7,322",6,"5,371",629,14,910,392
Government/Public Building,"11,622",83,"9,422",56,882,66,"1,113"
Grocery/Supermarket,"11,004",81,"9,848",6,70,17,982
Highway/Road/Alley/Street/Sidewalk,"852,967","1,329","713,799",153,345,"3,338","134,003"
Hotel/Motel/Etc.,"45,927",182,"37,352",18,230,"3,620","4,525"
Industrial Site,788,9,639,7,4,6,123
Jail/Prison/Penitentiary/Corrections Facility,"17,024",5,"15,724",0,229,16,"1,050"
Lake/Waterway/Beach,"2,170",38,"1,897",0,8,3,224
Liquor Store,941,3,584,3,2,1,348
Military Installation,89,1,69,0,0,2,17
Park/Playground,"16,683",169,"13,973",2,95,50,"2,394"
Parking/Drop Lot/Garage,"137,276","1,055","114,816",20,168,646,"20,571"
Rental Storage Facility,"2,197",30,"1,843",3,24,5,292
Residence/Home,"271,950","11,446","180,516",224,"16,999","1,274","61,491"
Rest Area,614,5,501,1,23,1,83
Restaurant,"9,694",46,"7,897",7,97,39,"1,608"
School/College,"6,387",7,"5,193",0,371,2,814
School-College/University,"5,841",14,"5,017",0,171,7,632
School-Elementary/Secondary,"31,792",20,"23,700",5,"2,172",14,"5,881"
Service/Gas Station,"22,753",29,"19,279",29,36,45,"3,335"
Shelter-Mission/Homeless,753,12,661,0,10,4,66
Shopping Mall,"2,259",39,"1,739",13,25,29,414
Specialty Store,"8,783",88,"6,057",33,107,156,"2,342"
Tribal Lands,"1,349",12,"1,116",4,6,0,211
Other/Unknown,"47,157",699,"34,135",156,"3,959",661,"7,547"