,"Animal 
Cruelty","Drug/
Narcotic
Offenses","Gambling
Offenses","Pornography/
Obscene
Material","Prostitution
Offenses","Weapon 
Law
Violations"
Total,"20,512","1,459,460","2,121","39,871","13,007","325,998"
Alabama,607,"43,361",25,668,77,"5,157"
Alaska,27,"1,325",1,39,15,457
Arizona,510,"39,724",1,"1,039",369,"4,333"
Arkansas,81,"30,507",13,534,68,"3,280"
California,645,"117,419",59,"1,654",871,"23,513"
Colorado,760,"27,236",4,"1,204",239,"8,062"
Connecticut,127,"6,182",9,294,38,"3,865"
Delaware,"1,370","9,205",28,89,28,"2,336"
District of Columbia,16,"1,643",5,45,14,"3,948"
Florida,255,"23,805",12,318,362,"5,902"
Georgia,"1,058","45,111",28,"1,299",336,"8,272"
Hawaii,93,"3,213",209,82,5,625
Idaho,94,"26,490",1,351,34,"1,268"
Illinois,221,"21,727",3,"1,096",187,"10,859"
Indiana,563,"40,632",204,845,94,"5,807"
Iowa,218,"20,574",9,343,43,"1,978"
Kansas,1,"28,843",14,543,143,"2,935"
Kentucky,288,"37,762",6,722,45,"2,896"
Louisiana,410,"35,014",41,873,143,"8,202"
Maine,48,"3,688",3,151,38,349
Maryland,506,"21,399",1,602,113,"4,322"
Massachusetts,193,"8,553",61,945,268,"4,327"
Michigan,897,"25,763",35,"1,248",625,"15,194"
Minnesota,338,"27,348",13,"1,060",114,"6,766"
Mississippi,235,"16,091",1,168,11,"1,996"
Missouri,477,"50,732",147,892,175,"10,220"
Montana,143,"4,924",7,26,23,302
Nebraska,85,"14,244",0,295,25,"1,300"
Nevada,298,"19,292",82,406,"2,370","5,885"
New Hampshire,233,"5,380",4,809,20,689
New Jersey,114,"8,103",7,164,175,"3,829"
New Mexico,108,"8,057",0,224,43,"4,593"
New York,2,"5,110",13,289,27,"4,033"
North Carolina,661,"88,992",102,"2,164",212,"20,773"
North Dakota,142,"12,050",1,307,47,679
Ohio,382,"58,536",13,"1,731",513,"12,633"
Oklahoma,523,"27,576",3,"1,235",223,"5,204"
Oregon,452,"6,507",2,533,203,"5,655"
Pennsylvania,437,"23,348",115,"1,150",297,"8,912"
Rhode Island,61,"1,966",8,254,6,872
South Carolina,479,"48,875",57,"1,136",107,"10,840"
South Dakota,48,"9,973",6,247,43,950
Tennessee,635,"80,538",58,"1,086",505,"15,532"
Texas,"3,426","179,836",642,"5,123","2,723","35,876"
Utah,135,"40,761",6,622,90,"4,353"
Vermont,60,"1,056",1,70,4,90
Virginia,"1,247","32,421",34,"2,252",349,"15,124"
Washington,350,"9,162",20,622,220,"6,684"
West Virginia,30,"8,814",0,497,51,"1,117"
Wisconsin,334,"47,086",7,"1,392",264,"13,060"
Wyoming,89,"3,506",0,133,12,144