,Total Incidents,Arson,Bribery,"Burglary/
Breaking &
Entering","Counterfeiting/
Forgery","Destruction/
Damage/
Vandalism",Embezzlement,"Extortion/
Blackmail","Fraud 
Offenses","Larceny/
Theft
Offenses","Motor
Vehicle
Theft",Robbery,"Stolen 
Property 
Offenses"
Total,"7,849,624","30,166",652,"672,139","147,573","1,497,908","32,481","20,298","843,491","3,618,452","721,157","149,862","115,445"
Total A.M. Hours,"3,222,185","14,740",264,"320,642","64,950","645,310","14,055","8,172","374,019","1,366,563","307,674","57,612","48,184"
Midnight–12:59 a.m.,"669,628","2,336",76,"56,981","18,829","120,163","3,978","2,131","112,417","281,846","53,317","10,032","7,522"
1 a.m.–1:59 a.m.,"182,610","1,450",19,"21,014","1,751","48,288",288,481,"9,898","68,069","20,860","6,264","4,228"
2 a.m.–2:59 a.m.,"165,874","1,435",23,"22,230","1,252","43,416",231,379,"7,247","61,276","18,905","5,843","3,637"
3 a.m.–3:59 a.m.,"151,263","1,385",9,"23,467",931,"37,638",230,283,"6,095","56,243","17,296","4,823","2,863"
4 a.m.–4:59 a.m.,"133,452","1,286",11,"21,932",679,"31,673",207,215,"5,283","49,727","16,319","3,944","2,176"
5 a.m.–5:59 a.m.,"130,620","1,081",9,"18,813",882,"30,032",205,195,"6,542","49,162","18,439","3,544","1,716"
6 a.m.–6:59 a.m.,"157,921",980,8,"18,458","1,461","34,615",401,246,"10,637","62,656","23,182","3,134","2,143"
7 a.m.–7:59 a.m.,"211,403",917,7,"21,837","2,415","47,387",599,388,"14,940","89,737","27,114","2,919","3,143"
8 a.m.–8:59 a.m.,"361,330",917,19,"32,079","9,986","66,462","2,158","1,003","51,920","156,680","32,117","3,315","4,674"
9 a.m.–9:59 a.m.,"334,059",991,30,"28,327","8,549","62,026","1,859",903,"46,228","148,505","27,585","3,918","5,138"
 10 a.m.–10:59 a.m.,"363,366","1,028",21,"28,930","9,243","63,496","1,970",977,"51,686","168,597","27,281","4,641","5,496"
 11 a.m.–11:59 a.m.,"360,659",934,32,"26,574","8,972","60,114","1,929",971,"51,126","174,065","25,259","5,235","5,448"
Total P.M. Hours,"4,507,726","15,126",376,"339,920","79,253","830,117","17,793","11,903","454,026","2,199,563","401,648","91,537","66,464"
Noon–12:59 p.m.,"520,008","1,114",29,"38,836","15,523","74,416","3,295","1,631","93,534","243,575","35,719","5,983","6,353"
1 p.m.–1:59 p.m.,"381,990","1,043",38,"26,340","9,166","58,918","2,042",904,"52,902","193,436","25,413","5,970","5,818"
2 p.m.–2:59 p.m.,"399,705","1,113",29,"27,508","9,929","61,830","2,100",950,"53,010","203,551","26,885","6,553","6,247"
3 p.m.–3:59 p.m.,"426,051","1,093",23,"30,637","9,787","67,820","2,160","1,006","53,485","217,832","29,169","6,857","6,182"
4 p.m.–4:59 p.m.,"426,757","1,230",34,"31,987","8,714","70,324","1,847","1,020","48,010","218,862","31,241","7,282","6,206"
5 p.m.–5:59 p.m.,"446,851","1,259",29,"37,225","6,722","81,410","1,573","1,077","39,808","228,039","36,457","7,338","5,914"
6 p.m.–6:59 p.m.,"408,042","1,208",34,"32,050","4,864","76,660","1,260","1,077","31,383","209,160","37,113","7,946","5,287"
7 p.m.–7:59 p.m.,"352,372","1,292",37,"25,006","4,094","68,938",981,997,"24,217","178,099","34,834","8,697","5,180"
8 p.m.–8:59 p.m.,"342,330","1,312",36,"24,653","3,629","71,708",781,990,"20,248","166,362","38,211","9,351","5,049"
9 p.m.–9:59 p.m.,"297,241","1,400",31,"22,816","2,773","68,413",702,841,"15,191","133,640","37,250","9,449","4,735"
 10 p.m.–10:59 p.m.,"283,443","1,553",27,"22,836","2,244","70,747",618,734,"12,377","119,934","39,068","8,516","4,789"
 11 p.m.–11:59 p.m.,"222,936","1,509",29,"20,026","1,808","58,933",434,676,"9,861","87,073","30,288","7,595","4,704"