,Population,"Assault
Offenses","Aggravated
Assault","Simple
Assault",Intimidation,"Homicide
Offenses","Murder and
Nonnegligent
Manslaughter","Negligent
Man-
slaughter","Justifiable
Homicide","Human
Trafficking
Offenses","Commercial
Sex Acts","Involuntary
Servitude","Kidnapping/
Abduction","Sex
Offenses",Rape,Sodomy,"Sexual
Assault
With an
Object",Fondling,Incest,"Statutory
Rape",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlantic Beach,"13,189",74,16,51,7,0,0,0,0,0,0,0,0,6,5,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aventura,"38,484",290,39,225,26,0,0,0,0,0,0,0,3,2,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bradenton,"56,316","1,069",193,857,19,3,3,0,0,0,0,0,1,32,17,4,0,10,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brooksville,"9,299",244,46,190,8,1,0,1,0,0,0,0,0,13,1,2,0,6,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crescent City,"1,681",16,3,13,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doral,"75,838",550,94,424,32,0,0,0,0,2,2,0,6,17,7,2,0,7,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kissimmee,"79,715","1,691",233,"1,397",61,3,3,0,0,1,0,1,7,61,35,1,0,23,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Largo,"82,167","1,458",213,"1,181",64,2,2,0,0,1,1,0,0,68,50,0,0,14,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marco Island,"16,137",77,11,51,15,0,0,0,0,0,0,0,0,4,2,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neptune Beach,"6,971",36,6,26,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palatka,"10,599",213,55,158,0,1,1,0,0,0,0,0,0,2,1,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Miami,"11,597",192,45,120,27,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Augustine,"14,875",112,39,73,0,0,0,0,0,0,0,0,0,6,4,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Augustine Beach,"7,100",7,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunny Isles Beach,"21,908",151,9,137,5,0,0,0,0,0,0,0,1,6,5,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tampa,"390,145","6,631","1,463","4,967",201,57,43,6,8,16,15,1,9,225,99,22,14,42,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University of Florida,"60,790",43,4,31,8,0,0,0,0,0,0,0,1,4,4,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University of West Florida,"16,584",5,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charlotte,"202,582","1,164",137,"1,007",20,2,2,0,0,0,0,0,0,14,8,0,1,2,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Collier,"404,310","3,286",600,"2,489",197,9,8,1,0,19,1,18,6,96,57,2,2,27,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hernando,"8,911","2,270",360,"1,717",193,9,8,0,1,0,0,0,2,90,21,11,10,27,0,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacksonville Sheriff's Office,"971,319","20,789","4,822","14,132","1,835",148,127,3,18,4,3,1,41,550,362,23,9,116,4,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marion,"396,415","2,889",551,"2,338",0,1,1,0,0,0,0,0,0,111,71,8,2,26,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miami-Dade,"2,673,056","12,072","4,077","7,106",889,101,98,3,0,10,8,2,19,753,450,55,20,159,24,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pinellas,"961,792",624,81,502,41,2,2,0,0,0,0,0,0,23,7,2,1,8,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarasota,"462,552","1,817",341,"1,426",50,7,5,0,2,0,0,0,2,30,18,5,0,6,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Johns,"307,072",165,104,61,0,0,0,0,0,0,0,0,0,11,9,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Walton,"83,404",587,75,473,39,0,0,0,0,1,1,0,3,36,20,6,2,7,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hamilton,"13,194",113,30,82,1,0,0,0,0,0,0,0,0,4,1,0,0,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monroe,"81,618",534,141,355,38,3,3,0,0,0,0,0,0,9,6,0,2,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Putnam,"75,955",458,66,391,1,1,1,0,0,0,0,0,1,12,4,0,2,5,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,